Player,Total_Runs,Role,Amount,Team,Year,Player Origin,Amount_Crores,Value_Score
Yuvraj Singh,2754,Batsman,160000000,Delhi Daredevils,2015.0,Indian,16.0,172.125
Ishan Kishan,2644,Wicket Keeper,152500000,Mumbai Indians,2022.0,Indian,15.25,173.37704918032787
KL Rahul,4689,Batsman,110000000,Kings XI Punjab,2018.0,Indian,11.0,426.27272727272725
Avesh Khan,41,Bowler,100000000,Lucknow Super Giants,2022.0,Indian,10.0,4.1
Washington Sundar,378,All-Rounder,87500000,Sunrisers Hyderabad,2022.0,Indian,8.75,43.2
Shivam Mavi,51,All-Rounder,72500000,Kolkata Knight Riders,2022.0,Indian,7.25,7.0344827586206895
Abhishek Sharma,1377,All-Rounder,65000000,Sunrisers Hyderabad,2022.0,Indian,6.5,211.84615384615384
Kuldeep Yadav,183,Bowler,58000000,Kolkata Knight Riders,2018.0,Indian,5.8,31.551724137931036
Kartik Tyagi,13,Bowler,40000000,Sunrisers Hyderabad,2022.0,Indian,4.0,3.25
Harpreet Brar,233,All-Rounder,38000000,Punjab Kings,2022.0,Indian,3.8,61.31578947368421
Anuj Rawat,318,Wicket Keeper,34000000,Royal Challengers Bangalore,2022.0,Indian,3.4,93.52941176470588
Yash Dayal,0,Bowler,32000000,Gujarat Titans,2022.0,Indian,3.2,0.0
Shakib Al Hasan,795,All-Rounder,32000000,Kolkata Knight Riders,2021.0,Overseas,3.2,248.4375
Navdeep Saini,33,Bowler,30000000,Royal Challengers Bangalore,2018.0,Indian,3.0,11.0
T Natarajan,3,Bowler,30000000,Kings XI Punjab,2017.0,Indian,3.0,1.0
Sandeep Sharma,54,Bowler,30000000,Sunrisers Hyderabad,2018.0,Indian,3.0,18.0
Mohammed Siraj,109,Bowler,26000000,Sunrisers Hyderabad,2017.0,Indian,2.6,41.92307692307692
Mustafizur Rahman,13,Bowler,22000000,Mumbai Indians,2018.0,Overseas,2.2,5.909090909090908
Harbhajan Singh,833,Bowler,20000000,Chennai Super Kings,2018.0,Indian,2.0,416.5
Ravi Bishnoi,32,Bowler,20000000,Kings XI Punjab,2020.0,Indian,2.0,16.0
Virat Singh,15,Batsman,19000000,Sunrisers Hyderabad,2020.0,Indian,1.9,7.894736842105264
Shubman Gill,3216,Batsman,18000000,Kolkata Knight Riders,2018.0,Indian,1.8,1786.6666666666665
Mandeep Singh,1706,All-Rounder,14000000,Royal Challengers Bangalore,2018.0,Indian,1.4,1218.5714285714287
Pankaj Singh,7,Bowler,11250000,Royal Challengers Bangalore,2013.0,Indian,1.125,6.222222222222222
Imran Tahir,33,Bowler,10000000,Chennai Super Kings,2018.0,Overseas,1.0,33.0
Mohammad Nabi,221,All-Rounder,10000000,Sunrisers Hyderabad,2018.0,Overseas,1.0,221.0
Basil Thampi,32,Bowler,9500000,Sunrisers Hyderabad,2018.0,Indian,0.95,33.68421052631579
Anmolpreet Singh,139,Batsman,8000000,Mumbai Indians,2019.0,Indian,0.8,173.75
Lalit Yadav,305,All-Rounder,6500000,Delhi Capitals,2022.0,Indian,0.65,469.2307692307692
Vishnu Vinod,56,Wicket Keeper,5000000,Sunrisers Hyderabad,2022.0,Indian,0.5,112.0
Fazalhaq Farooqi,3,Bowler,5000000,Sunrisers Hyderabad,2022.0,Overseas,0.5,6.0
Anureet Singh,36,Bowler,3000000,Rajasthan Royals,2018.0,Indian,0.3,120.0
J Suchith,70,Bowler,3000000,Sunrisers Hyderabad,2021.0,Indian,0.3,233.33333333333334
Noor Ahmad,13,Bowler,3000000,Gujarat Titans,2022.0,Overseas,0.3,43.333333333333336
Shashank Singh,423,All-Rounder,3000000,Rajasthan Royals,2019.0,Indian,0.3,1410.0
Arjun Tendulkar,13,All-Rounder,3000000,Mumbai Indians,2022.0,Indian,0.3,43.333333333333336
Simarjeet Singh,7,Bowler,2000000,Chennai Super Kings,2022.0,Indian,0.2,35.0
Mukesh Choudhary,6,Bowler,2000000,Chennai Super Kings,2022.0,Indian,0.2,30.0
Arshdeep Singh,29,Bowler,2000000,Kings XI Punjab,2019.0,Indian,0.2,145.0
Sachin Baby,144,Batsman,2000000,Sunrisers Hyderabad,2018.0,Indian,0.2,720.0
Abdul Samad,579,All-Rounder,2000000,Sunrisers Hyderabad,2020.0,Indian,0.2,2895.0
Dhruv Jurel,347,Wicket Keeper,2000000,Rajasthan Royals,2022.0,Indian,0.2,1735.0
Atharva Taide,247,All-Rounder,2000000,Punjab Kings,2022.0,Indian,0.2,1235.0
Bipul Sharma,187,All-Rounder,2000000,Sunrisers Hyderabad,2018.0,Indian,0.2,935.0
Ramandeep Singh,170,All-Rounder,2000000,Mumbai Indians,2022.0,Indian,0.2,850.0
N Jagadeesan,162,Wicket Keeper,2000000,Chennai Super Kings,2018.0,Indian,0.2,810.0
Mayank Dagar,0,All-Rounder,2000000,Kings XI Punjab,2018.0,Indian,0.2,0.0
Ankit Sharma,87,All-Rounder,2000000,Rajasthan Royals,2018.0,Indian,0.2,435.0
Mohsin Khan,25,Bowler,2000000,Mumbai Indians,2020.0,Indian,0.2,125.0
Akash Deep,19,Bowler,2000000,Royal Challengers Bangalore,2022.0,Indian,0.2,95.0
Swapnil Singh,51,All-Rounder,1000000,Kings XI Punjab,2016.0,Indian,0.1,510.0
Karanveer Singh,12,All-Rounder,1000000,Kings XI Punjab,2014.0,Indian,0.1,120.0
Jaskaran Singh,8,Bowler,1000000,Rising Pune Supergiant,2016.0,Indian,0.1,80.0
Shivam Sharma,5,Bowler,1000000,Kings XI Punjab,2014.0,Indian,0.1,50.0
